Label,SubSpecies,HostSpecies
MG916901,,Rhinolophus
MG916902,,Rhinolophus
MG916903,,Rhinolophus
MG916904,,Rhinolophus
KF569996,Sarbecovirus,Rhinolophus affinis
MK211375,,Rhinolophus affinis
MK211376,Sarbecovirus,Rhinolophus affinis
MK211377,Sarbecovirus,Rhinolophus affinis
MK211378,Sarbecovirus,Rhinolophus affinis
MK211379,Nobecovirus,Rhinolophus affinis
MN611522,Rhinacovirus,Rhinolophus affinis
GU190215,Sarbecovirus,Rhinolophus blasii
MN996532,Sarbecovirus,Rhinolophus blasii
DQ412042,Sarbecovirus,Rhinolophus ferrumequinum
DQ648856,Sarbecovirus,Rhinolophus ferrumequinum
KJ473807,Decacovirus,Rhinolophus ferrumequinum
KJ473808,Rhinacovirus,Rhinolophus ferrumequinum
KJ473811,Sarbecovirus,Rhinolophus ferrumequinum
KJ473812,Sarbecovirus,Rhinolophus ferrumequinum
KJ473813,Sarbecovirus,Rhinolophus ferrumequinum
KP886808,Sarbecovirus,Rhinolophus ferrumequinum
KP886809,Sarbecovirus,Rhinolophus ferrumequinum
KU182964,Sarbecovirus,Rhinolophus ferrumequinum
KY417145,Sarbecovirus,Rhinolophus ferrumequinum
KY770860,,Rhinolophus ferrumequinum
KY938558,,Rhinolophus ferrumequinum
DQ412043,Sarbecovirus,Rhinolophus macrotis
KF294457,Sarbecovirus,Rhinolophus monoceros
DQ071615,Sarbecovirus,Rhinolophus pearsoni
JX993987,Sarbecovirus,Rhinolophus pusillus
MG772933,Sarbecovirus,Rhinolophus pusillus
MG772934,Sarbecovirus,Rhinolophus pusillus
DQ022305,Sarbecovirus,Rhinolophus sinicus
DQ084199,Sarbecovirus,Rhinolophus sinicus
DQ084200,Sarbecovirus,Rhinolophus sinicus
EF065505,Sarbecovirus,Rhinolophus sinicus
EF203064,Rhinacovirus,Rhinolophus sinicus
EF203065,Rhinacovirus,Rhinolophus sinicus
EF203066,Rhinacovirus,Rhinolophus sinicus
EF203067,Rhinacovirus,Rhinolophus sinicus
FJ588686,Sarbecovirus,Rhinolophus sinicus
GQ153539,Sarbecovirus,Rhinolophus sinicus
GQ153540,Sarbecovirus,Rhinolophus sinicus
GQ153541,Sarbecovirus,Rhinolophus sinicus
GQ153542,Sarbecovirus,Rhinolophus sinicus
GQ153543,Sarbecovirus,Rhinolophus sinicus
GQ153544,Sarbecovirus,Rhinolophus sinicus
GQ153544,Sarbecovirus,Rhinolophus sinicus
GQ153545,Sarbecovirus,Rhinolophus sinicus
GQ153545,Sarbecovirus,Rhinolophus sinicus
GQ153546,Sarbecovirus,Rhinolophus sinicus
GQ153546,Sarbecovirus,Rhinolophus sinicus
GQ153547,Sarbecovirus,Rhinolophus sinicus
GQ153548,Sarbecovirus,Rhinolophus sinicus
KC881005,Sarbecovirus,Rhinolophus sinicus
KC881006,Sarbecovirus,Rhinolophus sinicus
KF367457,Sarbecovirus,Rhinolophus sinicus
KJ473814,Sarbecovirus,Rhinolophus sinicus
KJ473815,Sarbecovirus,Rhinolophus sinicus
